toussaint,ritter,,,,,
256,46,11,,299776,80,9939
512,0,5,,300032,9,9890
768,0,11,,300288,8,9880
1024,1,2,,300544,10,9857
1280,0,2,,300800,11,9856
1536,1,3,,301056,11,9855
1792,0,3,,301312,9,9904
2048,0,2,,301568,9,9890
2304,0,3,,301824,9,9895
2560,0,3,,302080,9,9885
2816,1,3,,302336,9,9890
3072,1,4,,302592,9,9908
3328,1,4,,302848,10,9917
3584,0,5,,303104,10,9922
3840,0,4,,303360,11,9985
4096,1,3,,303616,10,9949
4352,0,2,,303872,12,10017
4608,1,2,,304128,10,10021
4864,0,3,,304384,10,10046
5120,0,3,,304640,10,10055
5376,0,3,,304896,16,10076
5632,0,3,,305152,10,10091
5888,1,2,,305408,10,10084
6144,1,2,,305664,10,10074
6400,1,3,,305920,11,10064
6656,0,3,,306176,11,10067
6912,1,3,,306432,11,10120
7168,1,3,,306688,11,10152
7424,0,4,,306944,11,10147
7680,0,4,,307200,12,10147
7936,1,6,,307456,11,10139
8192,1,3,,307712,11,10155
8448,0,4,,307968,11,10131
8704,1,4,,308224,10,10165
8960,1,5,,308480,10,10158
9216,0,5,,308736,10,10178
9472,1,5,,308992,11,10203
9728,0,6,,309248,10,10215
9984,0,6,,309504,11,10214
10240,1,6,,309760,11,10230
10496,0,7,,310016,10,10231
10752,0,7,,310272,10,10241
11008,0,7,,310528,11,10304
11264,0,7,,310784,11,10297
11520,0,7,,311040,11,10312
11776,1,9,,311296,10,10311
12032,0,8,,311552,11,10313
12288,0,8,,311808,11,10291
12544,1,8,,312064,11,10301
12800,0,9,,312320,10,10296
13056,1,9,,312576,10,10309
13312,0,9,,312832,10,10307
13568,0,10,,313088,11,10327
13824,0,11,,313344,13,10320
14080,0,11,,313600,11,10349
14336,1,11,,313856,10,10382
14592,1,11,,314112,10,10406
14848,1,11,,314368,11,10427
15104,1,12,,314624,11,10409
15360,0,15,,314880,11,10402
15616,0,14,,315136,11,10425
15872,0,14,,315392,11,10431
16128,0,15,,315648,12,10447
16384,0,15,,315904,12,10462
16640,0,15,,316160,11,10462
16896,1,15,,316416,11,10492
17152,0,17,,316672,11,10491
17408,0,17,,316928,10,10500
17664,1,16,,317184,11,10572
17920,0,18,,317440,12,10568
18176,0,18,,317696,11,10584
18432,1,19,,317952,11,10583
18688,0,20,,318208,11,10598
18944,1,20,,318464,11,10637
19200,0,21,,318720,11,10625
19456,0,21,,318976,11,10644
19712,1,22,,319232,10,10634
19968,0,23,,319488,11,10601
20224,1,23,,319744,11,10617
20480,0,24,,320000,11,10630
20736,1,24,,320256,11,10640
20992,1,25,,320512,11,10636
21248,0,26,,320768,11,10637
21504,1,25,,321024,11,10658
21760,0,27,,321280,11,10698
22016,1,26,,321536,11,10706
22272,0,30,,321792,11,10688
22528,1,28,,322048,11,10699
22784,0,28,,322304,11,10715
23040,1,29,,322560,10,10730
23296,1,31,,322816,10,10740
23552,0,31,,323072,11,10759
23808,1,31,,323328,12,10759
24064,1,32,,323584,14,10758
24320,1,32,,323840,11,10780
24576,1,33,,324096,11,10860
24832,0,34,,324352,11,10900
25088,1,35,,324608,11,10881
25344,1,35,,324864,12,10882
25600,0,36,,325120,11,10894
25856,1,37,,325376,10,10910
26112,1,37,,325632,12,10913
26368,0,38,,325888,11,10918
26624,1,39,,326144,11,10932
26880,1,40,,326400,11,10986
27136,0,41,,326656,13,10920
27392,0,42,,326912,11,10951
27648,1,41,,327168,11,10975
27904,1,43,,327424,11,10983
28160,1,43,,327680,11,10946
28416,1,45,,327936,11,10954
28672,1,46,,328192,12,10964
28928,1,51,,328448,12,11049
29184,0,48,,328704,11,11049
29440,1,50,,328960,12,11054
29696,1,50,,329216,11,11094
29952,1,50,,329472,13,11091
30208,1,51,,329728,12,11090
30464,1,52,,329984,12,11094
30720,1,52,,330240,11,11116
30976,0,53,,330496,11,11096
31232,0,54,,330752,12,11089
31488,1,54,,331008,11,11102
31744,1,55,,331264,12,11119
32000,1,56,,331520,11,11117
32256,1,57,,331776,12,11120
32512,1,57,,332032,11,11152
32768,1,58,,332288,12,11166
33024,1,60,,332544,11,11193
33280,1,61,,332800,14,11204
33536,1,61,,333056,11,11232
33792,0,63,,333312,12,11247
34048,1,63,,333568,12,11265
34304,1,69,,333824,12,11275
34560,1,67,,334080,11,11295
34816,1,69,,334336,12,11308
35072,0,70,,334592,11,11340
35328,1,70,,334848,11,11324
35584,0,72,,335104,12,11330
35840,1,71,,335360,12,11340
36096,1,72,,335616,15,11322
