toussaint;ritter
256;46;11
512;0;5
768;0;11
1024;1;2
1280;0;2
1536;1;3
1792;0;3
2048;0;2
2304;0;3
2560;0;3
2816;1;3
3072;1;4
3328;1;4
3584;0;5
3840;0;4
4096;1;3
4352;0;2
4608;1;2
4864;0;3
5120;0;3
5376;0;3
5632;0;3
5888;1;2
6144;1;2
6400;1;3
6656;0;3
6912;1;3
7168;1;3
7424;0;4
7680;0;4
7936;1;6
8192;1;3
8448;0;4
8704;1;4
8960;1;5
9216;0;5
9472;1;5
9728;0;6
9984;0;6
10240;1;6
10496;0;7
10752;0;7
11008;0;7
11264;0;7
11520;0;7
11776;1;9
12032;0;8
12288;0;8
12544;1;8
12800;0;9
13056;1;9
13312;0;9
13568;0;10
13824;0;11
14080;0;11
14336;1;11
14592;1;11
14848;1;11
15104;1;12
15360;0;15
15616;0;14
15872;0;14
16128;0;15
16384;0;15
16640;0;15
16896;1;15
17152;0;17
17408;0;17
17664;1;16
17920;0;18
18176;0;18
18432;1;19
18688;0;20
18944;1;20
19200;0;21
19456;0;21
19712;1;22
19968;0;23
20224;1;23
20480;0;24
20736;1;24
20992;1;25
21248;0;26
21504;1;25
21760;0;27
22016;1;26
22272;0;30
22528;1;28
22784;0;28
23040;1;29
23296;1;31
23552;0;31
23808;1;31
24064;1;32
24320;1;32
24576;1;33
24832;0;34
25088;1;35
25344;1;35
25600;0;36
25856;1;37
26112;1;37
26368;0;38
26624;1;39
26880;1;40
27136;0;41
27392;0;42
27648;1;41
27904;1;43
28160;1;43
28416;1;45
28672;1;46
28928;1;51
29184;0;48
29440;1;50
29696;1;50
29952;1;50
30208;1;51
30464;1;52
30720;1;52
30976;0;53
31232;0;54
31488;1;54
31744;1;55
32000;1;56
32256;1;57
32512;1;57
32768;1;58
33024;1;60
33280;1;61
33536;1;61
33792;0;63
34048;1;63
34304;1;69
34560;1;67
34816;1;69
35072;0;70
35328;1;70
35584;0;72
35840;1;71
36096;1;72
36352;1;77
36608;1;75
36864;1;77
37120;1;78
37376;1;77
37632;1;78
37888;1;79
38144;1;81
38400;1;82
38656;1;84
38912;1;86
39168;1;84
39424;1;86
39680;1;87
39936;1;88
40192;1;88
40448;1;89
40704;1;90
40960;1;92
41216;0;95
41472;1;94
41728;1;95
41984;1;95
42240;1;97
42496;1;98
42752;1;99
43008;1;102
43264;1;102
43520;1;104
43776;1;104
44032;1;105
44288;1;107
44544;1;108
44800;1;113
45056;1;111
45312;1;112
45568;1;113
45824;1;114
46080;1;115
46336;1;117
46592;1;118
46848;1;120
47104;1;120
47360;1;122
47616;1;123
47872;1;125
48128;1;126
48384;1;128
48640;1;130
48896;1;130
49152;2;131
49408;1;133
49664;1;135
49920;1;136
50176;1;137
50432;2;138
50688;1;140
50944;2;141
51200;1;143
51456;1;144
51712;1;146
51968;1;153
52224;2;154
52480;1;149
52736;2;171
52992;1;154
53248;1;155
53504;1;158
53760;1;159
54016;2;158
54272;1;161
54528;1;162
54784;1;166
55040;1;166
55296;1;170
55552;1;171
55808;2;170
56064;2;174
56320;1;173
56576;1;174
56832;2;181
57088;1;178
57344;2;190
57600;1;181
57856;1;182
58112;1;183
58368;1;185
58624;2;187
58880;1;189
59136;1;189
59392;1;191
59648;2;193
59904;2;194
60160;2;196
60416;2;198
60672;1;200
60928;2;201
61184;2;203
61440;2;205
61696;1;207
61952;1;218
62208;1;212
62464;2;223
62720;1;219
62976;1;223
63232;2;220
63488;1;231
63744;1;223
64000;1;230
64256;1;228
64512;1;230
64768;2;232
65024;1;233
65280;1;237
65536;2;240
65792;1;236
66048;2;242
66304;1;247
66560;2;250
66816;2;245
67072;1;263
67328;1;256
67584;1;252
67840;1;255
68096;1;254
68352;2;255
68608;2;257
68864;2;259
69120;2;262
69376;1;263
69632;1;270
69888;1;274
70144;1;279
70400;2;274
70656;1;280
70912;1;309
71168;1;288
71424;1;299
71680;2;298
71936;2;295
72192;2;291
72448;1;303
72704;2;308
72960;1;308
73216;2;306
73472;1;320
73728;2;314
73984;1;327
74240;1;331
74496;1;322
74752;1;319
75008;2;327
75264;2;323
75520;2;342
75776;2;330
76032;1;338
76288;1;345
76544;1;337
76800;2;333
77056;2;336
77312;2;336
77568;1;346
77824;2;355
78080;1;347
78336;2;351
78592;2;359
78848;2;371
79104;2;372
79360;2;385
79616;2;362
79872;1;365
80128;2;365
80384;2;381
80640;2;382
80896;2;391
81152;2;391
81408;2;385
81664;2;419
81920;2;408
82176;2;446
82432;2;411
82688;2;412
82944;2;417
83200;2;409
83456;2;415
83712;2;429
83968;2;444
84224;2;453
84480;2;428
84736;2;424
84992;2;447
85248;2;460
85504;2;476
85760;2;453
86016;2;451
86272;2;463
86528;2;461
86784;2;457
87040;3;482
87296;3;476
87552;2;483
87808;2;490
88064;3;516
88320;2;468
88576;3;496
88832;3;511
89088;2;507
89344;2;498
89600;3;495
89856;2;490
90112;3;484
90368;2;503
90624;2;500
90880;2;504
91136;3;503
91392;2;512
91648;2;499
91904;2;502
92160;2;507
92416;2;515
92672;2;515
92928;2;516
93184;2;566
93440;3;549
93696;2;542
93952;2;537
94208;2;541
94464;2;556
94720;3;533
94976;2;555
95232;2;539
95488;2;548
95744;2;574
96000;3;568
96256;2;561
96512;2;560
96768;2;567
97024;2;573
97280;3;586
97536;2;586
97792;2;594
98048;3;601
98304;2;589
98560;3;591
98816;2;595
99072;2;598
99328;2;600
99584;3;609
99840;2;634
100096;3;615
100352;3;632
100608;2;665
100864;2;649
101120;2;655
101376;2;639
101632;2;632
101888;3;659
102144;3;645
102400;3;663
102656;3;681
102912;2;662
103168;3;669
103424;2;660
103680;2;683
103936;3;670
104192;3;688
104448;3;699
104704;3;698
104960;3;692
105216;3;683
105472;3;687
105728;2;690
105984;2;695
106240;2;702
106496;2;698
106752;3;699
107008;3;714
107264;2;716
107520;2;710
107776;2;720
108032;3;728
108288;3;724
108544;2;745
108800;2;745
109056;2;742
109312;2;736
109568;2;737
109824;2;733
110080;2;752
110336;3;758
110592;3;762
110848;2;769
111104;2;773
111360;2;778
111616;3;776
111872;3;789
112128;2;787
112384;2;789
112640;3;787
112896;3;804
113152;2;802
113408;3;828
113664;3;815
113920;3;816
114176;3;826
114432;3;815
114688;3;827
114944;2;832
115200;2;825
115456;2;832
115712;3;850
115968;2;855
116224;3;850
116480;3;853
116736;3;849
116992;3;843
117248;3;859
117504;2;876
117760;3;869
118016;2;888
118272;3;890
118528;2;887
118784;3;890
119040;2;911
119296;3;899
119552;3;907
119808;3;904
120064;3;902
120320;3;907
120576;3;922
120832;2;928
121088;3;932
121344;2;939
121600;3;940
121856;3;949
122112;2;942
122368;3;943
122624;3;953
122880;3;955
123136;3;957
123392;2;980
123648;3;973
123904;3;986
124160;2;994
124416;3;987
124672;3;984
124928;3;988
125184;2;997
125440;2;1007
125696;3;1004
125952;3;1016
126208;3;1018
126464;3;1020
126720;3;1036
126976;2;1029
127232;3;1024
127488;3;1036
127744;3;1059
128000;3;1049
128256;3;1048
128512;2;1058
128768;3;1059
129024;3;1067
129280;3;1059
129536;3;1048
129792;3;1082
130048;3;1072
130304;3;1080
130560;3;1096
130816;3;1086
131072;2;1097
131328;2;1120
131584;3;1117
131840;3;1117
132096;3;1121
132352;3;1116
132608;3;1139
132864;3;1127
133120;3;1144
133376;3;1139
133632;3;1134
133888;3;1152
134144;3;1159
134400;3;1147
134656;3;1160
134912;5;1180
135168;3;1168
135424;3;1179
135680;3;1186
135936;3;1173
136192;3;1187
136448;3;1201
136704;3;1190
136960;3;1207
137216;4;1214
137472;3;1223
137728;3;1222
137984;4;1231
138240;3;1235
138496;4;1239
138752;4;1245
139008;3;1245
139264;3;1257
139520;3;1257
139776;3;1268
140032;3;1261
140288;3;1286
140544;3;1258
140800;4;1279
141056;3;1278
141312;3;1329
141568;3;1315
141824;4;1350
142080;3;1337
142336;4;1354
142592;4;1340
142848;4;1352
143104;3;1342
143360;4;1321
143616;3;1353
143872;3;1387
144128;4;1366
144384;4;1397
144640;4;1378
144896;3;1391
145152;3;1371
145408;3;1373
145664;4;1404
145920;3;1397
146176;3;1393
146432;3;1403
146688;3;1388
146944;4;1439
147200;4;1418
147456;3;1453
147712;3;1421
147968;4;1438
148224;3;1451
148480;4;1458
148736;4;1447
148992;4;1436
149248;3;1479
149504;4;1487
149760;3;1487
150016;5;1498
150272;4;1536
150528;4;1492
150784;3;1516
151040;4;1503
151296;3;1529
151552;3;1533
151808;4;1583
152064;5;1597
152320;4;1567
152576;4;1532
152832;4;1555
153088;3;1535
153344;3;1548
153600;4;1550
153856;4;1562
154112;3;1561
154368;3;1573
154624;3;1568
154880;3;1591
155136;3;1619
155392;3;1625
155648;4;1642
155904;4;1616
156160;4;1612
156416;4;1617
156672;4;1638
156928;4;1640
157184;3;1651
157440;3;1645
157696;3;1671
157952;4;1661
158208;4;1672
158464;4;1671
158720;4;1669
158976;4;1677
159232;4;1681
159488;4;1706
159744;4;1691
160000;6;1695
160256;4;1675
160512;4;1695
160768;4;1699
161024;4;1713
161280;4;1729
161536;4;1740
161792;5;1745
162048;4;1763
162304;3;1770
162560;5;1762
162816;4;1768
163072;4;1773
163328;4;1779
163584;4;1794
163840;4;1786
164096;4;1803
164352;4;1802
164608;4;1811
164864;4;1888
165120;4;1887
165376;4;1861
165632;4;1811
165888;4;1847
166144;4;1863
166400;4;1872
166656;4;1955
166912;5;1892
167168;4;1875
167424;4;1899
167680;3;1907
167936;4;1894
168192;4;1891
168448;4;1911
168704;4;1900
168960;4;1915
169216;4;1914
169472;4;1912
169728;4;1953
169984;4;1963
170240;3;1981
170496;7;1948
170752;4;1943
171008;4;1965
171264;3;1954
171520;4;1943
171776;4;1963
172032;4;1968
172288;4;1985
172544;4;1989
172800;4;2062
173056;4;1998
173312;4;2012
